N,D,Q,L,C_train,C_Q,C_attn,C_total,C,form,s_train,s_Q,s_attn
2.015784952579651,17.896210046440114,1.0,2.501174964569839,2.1644946551891257e+20,7.02257334724098e+19,2.955256702551553e+19,3.1622776601683794e+20,3.1622776601683794e+20,exp,0.6844733093658432,0.2220732681287403,0.09345342250541644
2.115185303721488,19.33806330677874,0.9999999999999998,2.483136973820156,2.4542152385360488e+20,7.58836466564923e+19,3.3508218723478856e+19,3.54813389233576e+20,3.54813389233576e+20,exp,0.6916918337939109,0.21386917449876053,0.09443899170732864
2.220300397825091,20.881869235491084,1.0,2.4655254783487885,2.781841354253543e+20,8.19416278380692e+19,3.798140729007504e+19,3.9810717055349857e+20,3.9810717055349857e+20,exp,0.6987669552361687,0.20582806314225302,0.09540498162157822
2.33148834930821,22.53366845878641,1.0,2.448326774123682,3.152219128730064e+20,8.842338077369396e+19,4.303829850426115e+19,4.466835921509615e+20,4.466835921509617e+20,exp,0.7056939596887494,0.1979552916817467,0.09635074862950394
2.449130293932718,24.299792131105427,1.0,2.431527671895839,3.570801422673491e+20,9.535374926902018e+19,4.875334209090206e+19,5.0118723362727127e+20,5.0118723362727146e+20,exp,0.7124685512897693,0.1902557425074677,0.09727570620276316
2.5736319901786615,26.186874382888387,0.9999999999999998,2.4151154797521226,4.043722658075499e+20,1.0275876602454172e+20,5.521029335825747e+19,5.6234132519034906e+20,5.6234132519034906e+20,exp,0.7190868742763523,0.18273379782244975,0.09817932790119796
2.7054242013878578,28.201876857502477,1.0,2.3990779861384377,4.577882410490841e+20,1.1066574891987527e+20,6.250335451123495e+19,6.309573444801943e+20,6.309573444801943e+20,exp,0.7255454668274394,0.17539339210172084,0.09906114107083973
2.8449654669573285,30.35209600887501,1.0,2.3834034433315283,5.181039899701365e+20,1.1910332965008107e+20,7.0738464763922645e+19,7.079457843841402e+20,7.079457843841402e+20,exp,0.7318413378516664,0.16823792482031946,0.0999207373280142
2.9927438376537685,32.645180153196165,0.9999999999999999,2.3680805513396055,5.861919703954496e+20,1.2810152063750396e+20,8.003474369132539e+19,7.943282347242789e+20,7.943282347242789e+20,exp,0.7379719677205281,0.16127025962002922,0.10075777265944277
3.14927753095744,35.08915905872196,1.0,2.3530984422140224,6.630330012229487e+20,1.3769183114382197e+20,9.052610576697328e+19,8.912509381337439e+20,8.91250938133744e+20,exp,0.743935263183366,0.15449277554999835,0.10157196126663559
3.31511781421846,37.69245640580299,1.0,2.3384466647562316,7.497296021551812e+20,1.4790731616389805e+20,1.0236308168092076e+20,1e+21,1e+21,exp,0.7497296021551813,0.14790731616389804,0.10236308168092076
3.4908512800142635,40.463909487553664,0.9999999999999999,2.3241151696061833,8.47520941374048e+20,1.5878265373231376e+20,1.1571485919560339e+20,1.1220184543019652e+21,1.1220184543019653e+21,exp,0.7553538340876143,0.14151518909829008,0.10313097681409564
3.6771004709648096,43.412808354365716,1.0,2.310094294700262,9.577995482744591e+20,1.7035429852863925e+20,1.3077156499107283e+20,1.2589254117941712e+21,1.2589254117941712e+21,exp,0.7608072244005629,0.13531722922794687,0.1038755463714902
3.874527862185844,46.54890534182299,0.9999999999999998,2.296374751088667,1.0821301842068678e+21,1.8266051926550446e+20,1.477468411503777e+20,1.4125375446227498e+21,1.4125375446227498e+21,exp,0.7660895020640851,0.12931374458743192,0.10459675334848309
4.083837245731238,49.88245317647591,1.0,2.2829476091038505,1.222270921143221e+21,1.957415482178014e+20,1.6688072310008778e+20,1.5848931924611102e+21,1.584893192461111e+21,exp,0.771200814639888,0.12350456746794594,0.10529461789216604
4.305776364573674,53.424234526586474,0.9999999999999998,2.2698042848732483,1.3801968379201014e+21,2.096396971814634e+20,1.8844287493735783e+20,1.7782794100389228e+21,1.7782794100389228e+21,exp,0.7761417188595192,0.11788906512552763,0.10596921601495302
4.5411413428220255,57.185575142943996,1.0,2.2569365271709607,1.5581266769680712e+21,2.2439940903876932e+20,2.1273622896204068e+20,1.995262314968881e+21,1.995262314968883e+21,exp,0.7809131988704816,0.11246611904373544,0.1066206820857831
4.790775530978269,61.178422370142584,0.9999999999999998,2.244336404604361,1.758552533488396e+21,2.4006756584100066e+20,2.40101039238949e+20,2.2387211385683457e+21,2.238721138568347e+21,exp,0.7855165626447714,0.10723424266879573,0.1072491946864328
5.055575695661637,65.41534802134318,1.0,2.231996293132722,1.9842734614797007e+21,2.5669350008917534e+20,2.7091946994069517e+20,2.511886431509571e+21,2.5118864315095717e+21,exp,0.7899534933540804,0.10219152301997585,0.10785498362594378
5.3364970761362045,69.9095649652974,1.0,2.219908863915907,2.2384331341875818e+21,2.743290598224552e+20,3.056207372544112e+20,2.8183829312644485e+21,2.818382931264449e+21,exp,0.7942260469138323,0.09733562348086579,0.1084383296053019
5.634552263764115,74.67502068423775,1.0,2.2080670714919375,2.5245618410580235e+21,2.930289757445666e+20,3.446868433657888e+20,3.162277660168379e+21,3.1622776601683794e+21,exp,0.7983365511691344,0.09266389837790649,0.10899955045295914
5.950817313357128,79.72641311138811,0.9999999999999998,2.1964641422828426,2.8466239168506663e+21,3.12850923371079e+20,3.8865905211401096e+20,3.5481338923357564e+21,3.5481338923357606e+21,exp,0.8022876258981078,0.08817337024593723,0.10953900385595498
6.286435498513755,85.07923809923426,1.0,2.1850935634285853,3.209070855441181e+21,3.338557092975675e+20,4.381451407962359e+20,3.9810717055349844e+21,3.9810717055349854e+21,exp,0.8060821539535519,0.08386076262665641,0.11005708341979163
