N0,D0,Q0,eps_N,eps_D,eps_Q,r_QN,r_QD
0.8,250,0.65,-0.06217312315568983,-0.031226599953485236,-0.1498735982937879,2.410585003402263,4.7995490548775015
0.8,250,0.7,-0.06141340906227633,-0.031462525100529194,-0.15121025402890442,2.462170010389254,4.806043175039409
0.8,300,0.5,-0.06473144236634558,-0.02911516586362669,-0.14692258930113844,2.2697252514417126,5.046256304680287
0.8,300,0.55,-0.06400589257182555,-0.02933073085319397,-0.14814723091112675,2.314587375605773,5.050921903468159
0.8,300,0.6,-0.06326879408864887,-0.0295497270237791,-0.14940763867368248,2.361474417614795,5.056142770911283
0.8,300,0.65,-0.06251977676545468,-0.029772264350391434,-0.15070923628686234,2.4105850034022636,5.062068323495887
0.8,300,0.7,-0.061758428385913666,-0.02999846530387975,-0.15205975026056903,2.462170010389254,5.0689176502940265
0.8,350,0.5,-0.06501679241599573,-0.02795602655275491,-0.14757025551432953,2.2697252514417126,5.2786562938711805
0.8,350,0.55,-0.0642901425351623,-0.02816392863236748,-0.14880515228778238,2.314587375605773,5.2835367618694935
0.8,350,0.6,-0.06355187788114279,-0.028375153818890723,-0.15007613380769821,2.3614744176147946,5.288998070832843
0.8,350,0.65,-0.06280162537352674,-0.0285898088554006,-0.1513886563147106,2.410585003402263,5.295196518465473
0.8,350,0.7,-0.06203896965519626,-0.028808012578937427,-0.15275049056047318,2.462170010389254,5.302361283754595
0.8,400,0.5,-0.06525571858758515,-0.02698546874773573,-0.14811255227921633,2.269725251441712,5.488604021067598
0.8,400,0.55,-0.06452816186758062,-0.027186896015123585,-0.14935606882974795,2.314587375605773,5.493678599670364
0.8,400,0.6,-0.06378893515210321,-0.027391554171570735,-0.15063593848858084,2.3614744176147946,5.499357120996206
0.8,400,0.65,-0.06303766290214725,-0.027599547187566312,-0.15195764484144336,2.410585003402263,5.5058020991699745
0.8,400,0.7,-0.06227392712441546,-0.02781099078546823,-0.15332899579490164,2.462170010389254,5.513251828303037
0.9,200,0.5,-0.06232727121941002,-0.03261163474582441,-0.14341152348297453,2.3009434020964035,4.397557025298676
0.9,200,0.55,-0.061601813726623524,-0.03284727537297776,-0.14458131812273545,2.3470302151225337,4.401622858548479
0.9,200,0.6,-0.06086507179608644,-0.033086581371845065,-0.14578518761903622,2.395219184287729,4.406172580377002
0.9,200,0.65,-0.06011668796105632,-0.033329668854887654,-0.1470283814047236,2.445716595364815,4.411336399556292
0.9,200,0.7,-0.05935626347797715,-0.03357666733973387,-0.14831838862528712,2.4987824356618646,4.417305241302804
0.9,250,0.5,-0.0627695108412521,-0.030770697813868455,-0.14442909182299768,2.3009434020964035,4.693721692522131
0.9,250,0.55,-0.06204208675844787,-0.030994625526111576,-0.14561465223133077,2.3470302151225333,4.698061349657443
0.9,250,0.6,-0.06130327130146256,-0.031222059918751228,-0.1468347714808585,2.3952191842877286,4.7029174840790375
0.9,250,0.65,-0.0605527023934296,-0.03145311245355021,-0.1480947491377975,2.4457165953648143,4.708429073800026
0.9,250,0.7,-0.05978997634414203,-0.03168790740025256,-0.14940214271738048,2.4987824356618646,4.714799902381364
0.9,300,0.5,-0.06311435198874324,-0.029335207249430693,-0.14522255178608875,2.300943402096403,4.950452558636929
0.9,300,0.55,-0.06238542576468538,-0.029549869859395818,-0.14642047925300036,2.3470302151225333,4.955029580492173
0.9,300,0.6,-0.06164502497735505,-0.029767911630449756,-0.14765334644165704,2.395219184287729,4.9601513292125485
0.9,300,0.65,-0.06089278393950154,-0.029989440255620756,-0.14892649221880297,2.445716595364815,4.965964384443304
0.9,300,0.7,-0.060128295087376514,-0.030214575758166957,-0.15024752765063001,2.4987824356618646,4.97268367602409
0.9,350,0.5,-0.06339468559060148,-0.028168246045389547,-0.1458675835376704,2.3009434020964035,5.178440407777727
0.9,350,0.55,-0.06266455845440104,-0.02837529159061885,-0.14707561210979145,2.3470302151225333,5.1832282195266
0.9,350,0.6,-0.06192288925908142,-0.028585610170440697,-0.14831889229987635,2.3952191842877286,5.18858584495941
0.9,350,0.65,-0.0611693093724833,-0.028799306320774352,-0.1496027950592869,2.4457165953648143,5.194666614291715
0.9,350,0.7,-0.060403408071539336,-0.02901649651147582,-0.15093497514327858,2.4987824356618646,5.201695355729279
0.9,400,0.5,-0.06362942581388648,-0.027191079085199,-0.14640770750564464,2.300943402096403,5.384402253654551
0.9,400,0.55,-0.06289830704066388,-0.027391687663659403,-0.14762422710449252,2.3470302151225337,5.389380490795601
0.9,400,0.6,-0.062155589783558944,-0.02759547870017527,-0.14887626106029875,2.395219184287729,5.394951204791138
0.9,400,0.65,-0.06140090293772775,-0.027802554021780914,-0.15016920728518496,2.445716595364815,5.401273824251552
0.9,400,0.7,-0.06063383312754914,-0.028013027052089082,-0.1515107572259723,2.4987824356618646,5.408582119463356
1.0,200,0.5,-0.060920086513917136,-0.03282406763100486,-0.1418918487324701,2.329147196796167,4.322799060968371
1.0,200,0.55,-0.0601923120326797,-0.033058712004871135,-0.14303829544683797,2.3763548967711925,4.326795775520884
1.0,200,0.6,-0.05945333111915758,-0.033296969484507194,-0.14421810350719558,2.425736300934101,4.331268152625694
1.0,200,0.65,-0.058702790555745565,-0.03353895395264019,-0.14543644802827818,2.4775048451941695,4.336344187527334
1.0,200,0.7,-0.05794029604839325,-0.033784792533749955,-0.1467007166795186,2.5319290146013462,4.34221155962314
1.0,250,0.5,-0.06135517736469412,-0.030972570344718446,-0.14290523936790897,2.329147196796167,4.613928962866257
