C,form,N,D,Q,L,C_train,C_Q,C_attn,C_total,s_train,s_Q,s_attn
1.4125375446227496e+22,exp,6.8104679012690665,280.454587606077,1.0,2.119467009831282,1.1460161799929045e+22,1.1005195552148032e+21,1.5646940910836455e+21,1.4125375446227494e+22,0.811317323461993,0.07791081797466291,0.1107718585633441
1.584893192461111e+22,exp,7.171257167624497,300.0197630758297,0.9999999999999996,2.1109764709336343,1.2909113258319284e+22,1.1772944027559473e+21,1.7625242635358597e+21,1.584893192461109e+22,0.8145099821063213,0.07428225500342897,0.11120776289024975
1.7782794100389228e+22,exp,7.552670903878823,320.83137167580406,1.0,2.102651085114071,1.4538802595444268e+22,1.2589603239136332e+21,1.985031181031324e+21,1.7782794100389228e+22,0.8175769518203017,0.07079654169116636,0.11162650648853185
1.995262314968883e+22,exp,7.955912863238487,342.96401089163453,0.9999999999999999,2.094486773345718,1.6371550715283717e+22,1.3458100434117048e+21,2.2352623909934035e+21,1.9952623149688824e+22,0.8205212213181625,0.06745028126453106,0.11202849741730646
2.238721138568347e+22,exp,8.382254731269779,366.4968127275288,0.9999999999999999,2.0864795972680845,1.8432417854883732e+22,1.4381540796796117e+21,2.5166394511201256e+21,2.2387211385683466e+22,0.8233458619446989,0.06423998303778494,0.11241415501751624
2.511886431509572e+22,exp,8.833042649205204,391.51362205434225,1.0,2.0786257534482253,2.0749539128104874e+22,1.536321444700251e+21,2.8330037422905853e+21,2.511886431509571e+22,0.8260540312578941,0.06116205834102803,0.11278391040107781
2.8183829312644493e+22,exp,9.309697625428752,418.1034493849213,0.9999999999999999,2.0709215678393713,2.3354500139534233e+22,1.6406614207258485e+21,3.188667752384408e+21,2.818382931264449e+22,0.8286489348364167,0.05821286392725124,0.11313820123633211
3.1622776601683792e+22,exp,9.813726516322138,446.36051340426644,1.0,2.0633634904351337,2.6282760037407673e+22,1.7515437271687205e+21,3.5884728371073945e+21,3.162277660168379e+22,0.8311338491386053,0.055388675992337044,0.1134774748690576
3.5481338923357603e+22,exp,10.346722856619163,476.3847302516607,0.9999999999999998,2.0559480901170657,2.957412466223527e+22,1.869360440571808e+21,4.037853820550523e+21,3.54813389233576e+22,0.833512081551309,0.052685735580885754,0.1138021828678054
3.981071705534985e+22,exp,10.910370584701456,508.2821225486699,1.0,2.04867204969311,3.327327791150777e+22,1.9945275996575556e+21,4.5429115441845277e+21,3.981071705534985e+22,0.8357869531776353,0.0501002681485117,0.11411277867385312
4.466835921509617e+22,exp,11.5064501018501,542.1651625695108,0.9999999999999999,2.0415321611241417,3.7430378340405146e+22,2.127486551947672e+21,5.110494322743317e+21,4.4668359215096135e+22,0.8379617921527586,0.04762849115865142,0.11440971668858999
5.011872336272714e+22,exp,12.136848590981737,578.1529549166099,1.0,2.0345253209355443,4.210172925750951e+22,2.2687046705923272e+21,5.748289434625299e+21,5.011872336272714e+22,0.8400399378253158,0.04526660933026764,0.11469345284441645
5.623413251903491e+22,exp,12.803558361342846,616.3719926553596,0.9999999999999999,2.027648525810468,4.7350528681560475e+22,2.4186783214853696e+21,6.464925515989059e+21,5.623413251903491e+22,0.8420247020887646,0.043010858586049354,0.11496443932518603
6.309573444801943e+22,exp,13.508688734973962,656.95635003591,1.0,2.0208988683611526,5.324771307059825e+22,2.577933619515497e+21,7.270087757905681e+21,6.309573444801942e+22,0.8439193795971369,0.04085749444186743,0.11522312596099576
